	Gene
ENSG00000026508	CD44
ENSG00000151012	XCT
ENSG00000131069	ACSS2
ENSG00000154930	ACSS1
ENSG00000100292	HMOX1
ENSG00000100644	HIF1A
ENSG00000116044	NFE2L2
ENSG00000161011	SQSTM1
ENSG00000181019	NQO1
ENSG00000067057	PFKP
ENSG00000067225	PKM
ENSG00000141959	PFKL
ENSG00000143627	PKLR
ENSG00000152556	PFKM
ENSG00000121691	CAT
ENSG00000100344	PNPLA3
ENSG00000169174	PCSK9
ENSG00000169710	FASN
ENSG00000136877	FPGS
ENSG00000137563	GGH
ENSG00000116984	MTR
ENSG00000136371	MTHFS
ENSG00000138363	ATIC
ENSG00000145020	AMT
ENSG00000159131	GART
ENSG00000116157	GPX7
ENSG00000164294	GPX8
ENSG00000167468	GPX4
ENSG00000176153	GPX2
ENSG00000211445	GPX3
ENSG00000224586	GPX5
ENSG00000233276	GPX1
ENSG00000001084	GCLC
ENSG00000023909	GCLM
ENSG00000100983	GSS
ENSG00000104687	GSR
ENSG00000115419	GLS
ENSG00000006625	GGCT
ENSG00000023572	GLRX2
ENSG00000065621	GSTO2
ENSG00000099998	GGT5
ENSG00000100031	GGT1
ENSG00000108010	GLRX3
ENSG00000131067	GGT7
ENSG00000133475	GGT2
ENSG00000134184	GSTM1
ENSG00000134201	GSTM5
ENSG00000134202	GSTM3
ENSG00000148834	GSTO1
ENSG00000167741	GGT6
ENSG00000168765	GSTM4
ENSG00000170899	GSTA4
ENSG00000173221	GLRX
ENSG00000174156	GSTA3
ENSG00000178814	OPLAH
ENSG00000182512	GLRX5
ENSG00000182793	GSTA5
ENSG00000197448	GSTK1
ENSG00000213366	GSTM2
ENSG00000243955	GSTA1
ENSG00000244067	GSTA2
ENSG00000065911	MTHFD2
ENSG00000100714	MTHFD1
ENSG00000120254	MTHFD1L
ENSG00000163738	MTHFD2L
ENSG00000177000	MTHFR
ENSG00000178700	DHFR2
ENSG00000228716	DHFR
ENSG00000148672	GLUD1
ENSG00000182890	GLUD2
ENSG00000006534	ALDH3B1
ENSG00000059573	ALDH18A1
ENSG00000072210	ALDH3A2
ENSG00000108602	ALDH3A1
ENSG00000111275	ALDH2
ENSG00000111640	GAPDH
ENSG00000112294	ALDH5A1
ENSG00000118514	ALDH8A1
ENSG00000119711	ALDH6A1
ENSG00000128918	ALDH1A2
ENSG00000132746	ALDH3B2
ENSG00000134333	LADH
ENSG00000136010	ALDH1L2
ENSG00000137124	ALDH1B1
ENSG00000143149	ALDH9A1
ENSG00000144908	ALDH1L1
ENSG00000159423	ALDH4A1
ENSG00000161618	ALDH16A1
ENSG00000164904	ALDH7A1
ENSG00000165092	ALDH1A1
ENSG00000184254	ALDH1A3
ENSG00000014641	MDH1
ENSG00000065833	ME1
ENSG00000082212	ME2
ENSG00000146701	MDH2
ENSG00000151376	ME3
ENSG00000112992	NNT
ENSG00000049239	H6PD
ENSG00000067829	IDH3G
ENSG00000101365	IDH3B
ENSG00000138413	IDH1
ENSG00000142657	PGD
ENSG00000160211	G6PD
ENSG00000166411	IDH3A
ENSG00000182054	IDH2
ENSG00000106268	MTH1
ENSG00000116005	PCYOX1
ENSG00000007350	TKTL1
ENSG00000079739	PGM1
ENSG00000101911	PRPS2
ENSG00000105220	GPI
ENSG00000109107	ALDOC
ENSG00000130313	PGLS
ENSG00000130957	FBP2
ENSG00000136872	ALDOB
ENSG00000147224	PRPS1
ENSG00000149925	ALDOA
ENSG00000151005	TKTL2
ENSG00000153574	R5PI
ENSG00000163931	TKT
ENSG00000165140	FBP1
ENSG00000169299	PGM2
ENSG00000177156	TALDO1
ENSG00000197713	RPE
ENSG00000229937	PRPS1L1
ENSG00000235376	RPEL1
ENSG00000086288	TXNDC3
ENSG00000087301	TXNDC16
ENSG00000091164	TXNL1
ENSG00000100348	TXN2
ENSG00000113621	TXNDC15
ENSG00000115514	TXNDC9
ENSG00000116288	PARK7
ENSG00000117450	PRDX1
ENSG00000117592	PRDX6
ENSG00000117862	TXNDC12
ENSG00000121053	EPX
ENSG00000123131	PRDX4
ENSG00000126432	PRDX5
ENSG00000129235	TXNDC17
ENSG00000136810	TXN
ENSG00000140830	TXNL4B
ENSG00000141759	TXNL4A
ENSG00000153066	TXNDC11
ENSG00000165672	PRDX3
ENSG00000167325	RRM1
ENSG00000167815	PRDX2
ENSG00000168454	TXNDC2
ENSG00000181322	TXNDC6
ENSG00000184470	TXNRD2
ENSG00000197763	TXNRD3
ENSG00000198431	TXNRD1
ENSG00000239264	TXNDC5
ENSG00000007952	NOX1
ENSG00000074771	NOX3
ENSG00000086991	NOX4
ENSG00000109610	SOD3
ENSG00000112096	SOD2
ENSG00000137857	DUOX1
ENSG00000140279	DUOX2
ENSG00000142168	SOD1
ENSG00000165168	CYBB
ENSG00000255346	NOX5
ENSG00000176974	SHMT1
ENSG00000178445	GLDC
ENSG00000182199	SHMT2
