	Description	Biological_process	Subcellular_location	TCGA-MR-A8JO	TCGA-NI-A8LF	TCGA-RC-A6M6	TCGA-RC-A7S9	TCGA-RC-A7SH	TCGA-RC-A7SK	TCGA-UB-A7MB	TCGA-UB-A7MC	TCGA-UB-A7MD	TCGA-WQ-A9G7	TCGA-WX-AA44	TCGA-XR-A8TD	TCGA-YA-A8S7	TCGA-DD-AA3A	TCGA-DD-AACD	TCGA-DD-AACG	TCGA-DD-AACZ	TCGA-DD-AAD1	TCGA-DD-AADB	TCGA-DD-AADD	TCGA-DD-AADF	TCGA-DD-AADL	TCGA-DD-AADN	TCGA-DD-AAE0	TCGA-DD-AAEE	TCGA-2Y-A9GV	TCGA-2Y-A9H0	TCGA-2Y-A9H3	TCGA-3K-AAZ8	TCGA-5C-AAPD	TCGA-BC-A10S	TCGA-BC-A10T	TCGA-BC-A110	TCGA-BC-A69I	TCGA-CC-5260	TCGA-CC-5262	TCGA-CC-5263	TCGA-CC-A123	TCGA-CC-A3MB	TCGA-CC-A7IF	TCGA-CC-A7IH	TCGA-CC-A7IL	TCGA-CC-A8HS	TCGA-DD-A1ED	TCGA-DD-A3A2	TCGA-DD-A4NL	TCGA-DD-A4NO	TCGA-DD-A4NV	TCGA-DD-A73C	TCGA-DD-A73D
CD44	CD44 antigen (CDw44) (Epican) (Extracellular matrix receptor III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Heparan sulfate proteoglycan) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (PGP-1) (Phagocytic glycoprotein I) (PGP-I) (CD antigen CD44)	cartilage development; cell adhesion; cell-cell adhesion; cell-matrix adhesion; cell migration; cellular response to fibroblast growth factor stimulus; extracellular matrix disassembly; extracellular matrix organization; hyaluronan catabolic process; inflammatory response; interferon-gamma-mediated signaling pathway; leukocyte migration; monocyte aggregation; negative regulation of apoptotic process; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process; negative regulation of DNA damage response, signal transduction by p53 class mediator; negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator; neutrophil degranulation; positive regulation of ERK1 and ERK2 cascade; positive regulation of heterotypic cell-cell adhesion; positive regulation of monocyte aggregation; positive regulation of peptidyl-serine phosphorylation; positive regulation of peptidyl-tyrosine phosphorylation; regulation of lamellipodium morphogenesis; T cell activation; wound healing, spreading of cells	apical plasma membrane; basolateral plasma membrane; cell projection; cell surface; cytosol; extracellular exosome; focal adhesion; Golgi apparatus; integral component of plasma membrane; lamellipodium membrane; macrophage migration inhibitory factor receptor complex; microvillus; plasma membrane; secretory granule membrane	10.7515339	1.539697901	1.444914262	0.695621031	0.658094105	0.322448829	0.6642126279999999	4.067514058	7.651457797000001	1.039273667	1.670953394	7.953324456	45.24476527	1.398154888	4.614114429	1.9984938980000002	5.934192856	7.1072986039999995	2.735459613	1.670909411	0.6903274429999999	0.6388337829999999	1.54479212	1.069328641	0.706403745	7.086939431	1.352504484	3.887774566	1.327788418	8.274950981	3.889669795	2.566656765	4.665049283	4.107320322	54.69728146	3.807391168	3.446329158	0.6006277289999999	0.760808273	0.586495316	1.303069865	0.21225883199999998	0.8000873359999999	8.370966013	0.6358249460000001	11.04573544	1.677863927	2.31648787	1.484601087	0.185025159
SLC7A11	Cystine/glutamate transporter (Amino acid transport system xc-) (Calcium channel blocker resistance protein CCBR1) (Solute carrier family 7 member 11) (xCT)	adult behavior; amino acid transport; cellular response to oxidative stress; dipeptide import across plasma membrane; glutamate homeostasis; glutathione metabolic process; glutathione transmembrane transport; lens fiber cell differentiation; leukocyte migration; L-glutamate import across plasma membrane; limb development; lung alveolus development; modulation of chemical synaptic transmission; negative regulation of oxidative stress-induced neuron death; platelet aggregation; regulation of AMPA glutamate receptor clustering; regulation of cell population proliferation; regulation of cysteine metabolic process; regulation of glutamate metabolic process; regulation of glutathione biosynthetic process; regulation of melanin biosynthetic process; regulation of neutrophil apoptotic process; regulation of protein transport; response to nicotine; response to organic cyclic compound; response to redox state; response to toxic substance; striatum development; ventricular system development; visual learning	astrocyte projection; brush border membrane; cell surface; cytoskeleton; integral component of membrane; plasma membrane; rough endoplasmic reticulum	1.014267832	0.200683538	2.0063615969999997	0.027697775	0.19754401800000002	0.035810701	0.27860376800000003	0.971799332	4.5260313519999995	0.25625191399999997	1.669733457	0.125317383	7.260370476	1.315935476	0.294102358	0.033883942	1.310458485	0.513829013	0.17932414100000002	0.29709479	0.061628062000000004	0.43058746200000003	2.418101585	0.057582497999999996	2.164713228	0.094923726	0.155798359	0.075197826	0.017258395	0.053826745999999995	0.023195063999999998	0.127857751	0.034135604	0.014782738	2.052286516	1.3491034069999999	0.8180151790000001	0.034922922	1.4089627519999999	0.040485776	0.905821575	0.159846391	0.048813332	0.617259049	0.012855667	0.006917459	0.094309437	0.08841288300000001	0.014778214	0.008298011999999999
ACSS2	Acetyl-coenzyme A synthetase, cytoplasmic	acetate biosynthetic process; acetyl-CoA biosynthetic process from acetate; ethanol oxidation; lipid biosynthetic process; propionate biosynthetic process	cytoplasm; cytosol; intracellular membrane-bounded organelle; mitochondrial matrix; nucleoplasm	3.713664896	35.91870739	4.946164067	4.7655747989999995	13.64994124	14.09299604	22.34972998	16.18871092	12.47471216	13.66401389	14.53354921	56.44364335	7.362530776	6.297569413	10.97647446	10.3373709	15.496530499999999	16.78539439	14.08301853	59.87730119	30.38573164	27.36839862	88.54393909999999	8.991516496000001	29.01117448	13.41070247	15.76441775	8.49744953	30.65368186	9.703500424	11.43953696	88.13541681	7.7158445460000005	11.52891211	11.61515514	27.44606096	8.236113304	6.813776637999999	28.60690517	20.36866645	19.28714659	78.13476631	11.75918598	9.794402199	20.37108607	36.38048606	39.0782794	16.89332297	26.37310764	14.42772879
ACSS1	Acetyl-coenzyme A synthetase 2-like, mitochondrial	acetate biosynthetic process; acetyl-CoA biosynthetic process; acetyl-CoA biosynthetic process from acetate; ethanol oxidation; propionate biosynthetic process	mitochondrial matrix	1.583812676	0.995307245	1.3967966669999998	1.69059684	8.994124284	0.39741596100000004	5.528328272	0.665476059	1.330188725	7.476119825	2.761216503	22.03084886	5.98849359	6.780120045	1.280435814	2.184127279	1.018728153	3.668204775	2.63627497	1.802209296	2.103765492	1.059852337	11.20139469	15.20316534	0.477668152	2.572932299	3.2267209119999998	4.070191166	0.312829509	6.421538222000001	0.742816233	0.514360432	1.0001013159999999	0.302328461	8.347630536	0.774325557	1.178655629	0.428903793	0.599955269	0.9506210009999999	0.37797492299999996	0.165452644	7.606172318	1.077386027	0.19158297600000002	1.9447842880000001	1.0572963990000002	1.607170429	0.551463453	0.11050648699999999
HMOX1	Heme oxygenase 1 (HO-1)	angiogenesis; cell death; cellular iron ion homeostasis; cellular response to arsenic-containing substance; cellular response to cadmium ion; cellular response to cisplatin; cellular response to heat; cellular response to hypoxia; cellular response to nutrient; cytokine-mediated signaling pathway; endothelial cell proliferation; erythrocyte homeostasis; excretion; heme catabolic process; heme oxidation; intracellular signal transduction; intrinsic apoptotic signaling pathway in response to DNA damage; iron ion homeostasis; liver regeneration; low-density lipoprotein particle clearance; negative regulation of DNA binding; negative regulation of DNA-binding transcription factor activity; negative regulation of epithelial cell apoptotic process; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors; negative regulation of leukocyte migration; negative regulation of macroautophagy; negative regulation of mast cell cytokine production; negative regulation of mast cell degranulation; negative regulation of muscle cell apoptotic process; negative regulation of neuron apoptotic process; negative regulation of smooth muscle cell proliferation; negative regulation of vascular smooth muscle cell proliferation; positive regulation of angiogenesis; positive regulation of apoptotic process; positive regulation of blood vessel diameter; positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis; positive regulation of cell migration involved in sprouting angiogenesis; positive regulation of chemokine biosynthetic process; positive regulation of I-kappaB kinase/NF-kappaB signaling; positive regulation of macroautophagy; positive regulation of smooth muscle cell proliferation; protein homooligomerization; regulation of angiogenesis; regulation of blood pressure; regulation of DNA-binding transcription factor activity; regulation of transcription from RNA polymerase II promoter in response to iron; regulation of transcription from RNA polymerase II promoter in response to oxidative stress; response to estrogen; response to hydrogen peroxide; response to nicotine; response to oxidative stress; small GTPase mediated signal transduction; smooth muscle hyperplasia; wound healing involved in inflammatory response	caveola; cytosol; endoplasmic reticulum; endoplasmic reticulum membrane; extracellular space; membrane; nucleolus; nucleus; perinuclear region of cytoplasm	57.41456078	9.558130868	17.80506165	5.963554791	1.82421277	3.566440575	7.648073567999999	40.60441949	20.97190765	18.95620371	18.44788393	20.69414972	124.08960490000001	8.716639289	16.25042914	33.65492594	77.30079314	42.12557651	76.65406359	23.84954364	9.816912161	17.62985835	35.08775373	6.948850351	14.54596442	167.98442340000003	21.49518876	22.27527734	7.336576031	35.17544835	100.61589920000002	7.807937655	99.88023753	60.37714977	18.29823068	46.76353653	11.52247476	24.50023773	14.25522171	6.998741003999999	6.444413923	6.922076642	6.789338452000001	29.91811935	18.11099286	19.22502899	15.59184802	9.807422403	51.71740949	3.910200837
HIF1A	Hypoxia-inducible factor 1-alpha (HIF-1-alpha) (HIF1-alpha) (ARNT-interacting protein) (Basic-helix-loop-helix-PAS protein MOP1) (Class E basic helix-loop-helix protein 78) (bHLHe78) (Member of PAS protein 1) (PAS domain-containing protein 8)	angiogenesis; axonal transport of mitochondrion; B-1 B cell homeostasis; cardiac ventricle morphogenesis; cartilage development; cellular iron ion homeostasis; cellular response to hypoxia; cellular response to interleukin-1; cerebral cortex development; collagen metabolic process; connective tissue replacement involved in inflammatory response wound healing; cytokine-mediated signaling pathway; digestive tract morphogenesis; dopaminergic neuron differentiation; elastin metabolic process; embryonic hemopoiesis; embryonic placenta development; epithelial cell differentiation involved in mammary gland alveolus development; epithelial to mesenchymal transition; glucose homeostasis; heart looping; hemoglobin biosynthetic process; hypoxia-inducible factor-1alpha signaling pathway; intestinal epithelial cell maturation; iris morphogenesis; lactate metabolic process; lactation; mRNA transcription by RNA polymerase II; muscle cell cellular homeostasis; negative regulation of bone mineralization; negative regulation of gene expression; negative regulation of growth; negative regulation of mesenchymal cell apoptotic process; negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway; negative regulation of reactive oxygen species metabolic process; negative regulation of thymocyte apoptotic process; negative regulation of TOR signaling; neural crest cell migration; neural fold elevation formation; outflow tract morphogenesis; oxygen homeostasis; positive regulation of angiogenesis; positive regulation of autophagy of mitochondrion; positive regulation of blood vessel endothelial cell migration; positive regulation of chemokine-mediated signaling pathway; positive regulation of chemokine production; positive regulation of endothelial cell proliferation; positive regulation of epithelial cell migration; positive regulation of erythrocyte differentiation; positive regulation of gene expression; positive regulation of glycolytic process; positive regulation of hormone biosynthetic process; positive regulation of insulin secretion involved in cellular response to glucose stimulus; positive regulation of macroautophagy; positive regulation of neuroblast proliferation; positive regulation of nitric-oxide synthase activity; positive regulation of pri-miRNA transcription by RNA polymerase II; positive regulation of receptor biosynthetic process; positive regulation of transcription, DNA-templated; positive regulation of transcription by RNA polymerase II; positive regulation of transcription from RNA polymerase II promoter in response to hypoxia; positive regulation of vascular endothelial growth factor production; positive regulation of vascular endothelial growth factor receptor signaling pathway; post-translational protein modification; protein deubiquitination; protein ubiquitination; regulation of aerobic respiration; regulation of gene expression; regulation of transcription, DNA-templated; regulation of transcription by RNA polymerase II; regulation of transcription from RNA polymerase II promoter in response to hypoxia; regulation of transcription from RNA polymerase II promoter in response to oxidative stress; regulation of transforming growth factor beta2 production; response to hypoxia; response to iron ion; response to muscle activity; retina vasculature development in camera-type eye; signal transduction; transcription by RNA polymerase II; vascular endothelial growth factor production; visual learning	axon cytoplasm; cytoplasm; cytosol; motile cilium; nuclear body; nuclear chromatin; nuclear speck; nucleoplasm; nucleus; protein-containing complex; RNA polymerase II transcription factor complex; transcription factor complex	16.68914695	5.141069525	5.80281382	10.57351869	3.3290251439999996	3.855594477	8.923533072	9.425492221	14.76754112	5.468784922	16.74467048	15.92864695	81.41223003	38.57723323	5.6293014679999995	2.236473375	17.21253775	27.50897725	12.70812789	7.377989839	2.774109882	7.476802997999999	1.272985798	8.017921494	4.275883255	13.62135609	13.98764263	2.291270228	6.865251737	8.803831402	8.059671998999999	11.17869767	19.76322237	6.461295087000001	100.73605	17.360434299999998	104.2024745	4.028116009	17.18567697	3.267709593	8.97580023	3.669360342	9.401799944	19.41392675	3.645130883	19.05328976	12.0045086	7.880126484	6.58235717	5.488667207000001
NFE2L2	Nuclear factor erythroid 2-related factor 2 (NF-E2-related factor 2) (NFE2-related factor 2) (Nrf-2) (HEBP1) (Nuclear factor, erythroid derived 2, like 2)	aflatoxin catabolic process; aging; cell redox homeostasis; cellular response to angiotensin; cellular response to fluid shear stress; cellular response to glucose starvation; cellular response to hydrogen peroxide; cellular response to laminar fluid shear stress; cellular response to oxidative stress; cellular response to tumor necrosis factor; endoplasmic reticulum unfolded protein response; inflammatory response; negative regulation of cardiac muscle cell apoptotic process; negative regulation of endothelial cell apoptotic process; negative regulation of hematopoietic stem cell differentiation; negative regulation of hydrogen peroxide-induced cell death; negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway; negative regulation of vascular associated smooth muscle cell migration; PERK-mediated unfolded protein response; positive regulation of angiogenesis; positive regulation of blood coagulation; positive regulation of blood vessel endothelial cell migration; positive regulation of ER-associated ubiquitin-dependent protein catabolic process; positive regulation of gene expression; positive regulation of glucose import; positive regulation of glutathione biosynthetic process; positive regulation of neuron projection development; positive regulation of reactive oxygen species metabolic process; positive regulation of transcription, DNA-templated; positive regulation of transcription by RNA polymerase II; positive regulation of transcription from RNA polymerase II promoter in response to hypoxia; positive regulation of transcription from RNA polymerase II promoter in response to oxidative stress; positive regulation of transcription from RNA polymerase II promoter in response to stress; proteasomal ubiquitin-independent protein catabolic process; proteasome-mediated ubiquitin-dependent protein catabolic process; protein ubiquitination; regulation of embryonic development; regulation of removal of superoxide radicals; regulation of transcription from RNA polymerase II promoter in response to copper ion; transcription by RNA polymerase II; viral process	centrosome; cytoplasm; cytosol; Golgi apparatus; nuclear chromatin; nucleoplasm; nucleus; plasma membrane; protein-DNA complex	10.98617698	8.849625495	5.9256615120000005	6.732801144	5.492818715	13.60754731	14.40386873	16.59769092	17.14343453	6.494418859	14.84099711	8.676819857	16.56564387	25.49263408	5.551237037999999	3.976496506	14.19917421	18.1982728	17.18299576	12.05453893	7.022680058	14.36991777	3.620345509	6.156005805	5.93814056	6.12039299	8.760488899	3.5895273810000004	14.68112408	8.053519646	15.27149146	21.37064616	16.36552996	15.97048565	22.51533314	10.46476545	12.44910448	3.398924941	13.13813427	9.566118451	23.36202469	13.10600512	12.39486896	21.37609094	5.507438392999999	13.15631009	15.98347805	11.14740508	8.606029714	25.67751147
SQSTM1	Sequestosome-1 (EBI3-associated protein of 60 kDa) (EBIAP) (p60) (Phosphotyrosine-independent ligand for the Lck SH2 domain of 62 kDa) (Ubiquitin-binding protein p62)	aggrephagy; apoptotic process; autophagy; autophagy of mitochondrion; cell differentiation; endosomal transport; endosome organization; immune system process; interleukin-1-mediated signaling pathway; intracellular signal transduction; macroautophagy; mitochondrion organization; mitophagy; negative regulation of apoptotic process; negative regulation of transcription by RNA polymerase II; positive regulation of apoptotic process; positive regulation of long-term synaptic potentiation; positive regulation of protein localization to plasma membrane; positive regulation of protein phosphorylation; positive regulation of transcription by RNA polymerase II; protein heterooligomerization; protein localization; protein localization to perinuclear region of cytoplasm; regulation of I-kappaB kinase/NF-kappaB signaling; regulation of mitochondrion organization; regulation of protein complex stability; regulation of Ras protein signal transduction; response to ischemia; response to mitochondrial depolarisation; selective autophagy; ubiquitin-dependent protein catabolic process	aggresome; amphisome; autolysosome; autophagosome; cytoplasm; cytosol; endoplasmic reticulum; extracellular exosome; inclusion body; intracellular membrane-bounded organelle; late endosome; Lewy body; mitochondrion; nucleoplasm; P-body; phagophore assembly site; PML body; sarcomere; sperm midpiece	35.193121399999995	72.65001884	300.6241354	26.30570636	27.00565565	111.24806299999999	55.21530566	190.5878245	313.708795	102.37788979999999	74.89836629	66.42983768	83.99030367	153.94464230000003	23.44953142	31.74241727	708.631146	80.72029565	49.06227217	58.09818733	26.96634184	56.35559670000001	91.01419624	39.2621891	339.260611	47.30261179	62.96183421	20.05869226	92.9015227	22.84801375	68.51622452	53.39008033	27.43505776	36.44189388	39.06902322	168.35955869999998	105.4896185	15.60204131	169.86035230000002	44.24261466	36.91901988	107.4765328	13.28635878	29.38466171	44.07489948	44.02308112	72.45221798	45.33995161	43.68350325	79.11414839
NQO1	NAD(P)H dehydrogenase [quinone] 1	aging; cellular response to hydrogen peroxide; cellular response to metal ion; negative regulation of apoptotic process; negative regulation of catalytic activity; nitric oxide biosynthetic process; positive regulation of neuron apoptotic process; regulation of cellular amino acid metabolic process; response to electrical stimulus; response to estradiol; response to ethanol; response to hydrogen sulfide; response to nitrogen compound; response to nutrient; response to toxic substance; synaptic transmission, cholinergic; xenobiotic metabolic process	cytoplasm; cytosol; dendrite; neuronal cell body	26.85747715	2.7057091339999997	146.7834142	2.083222299	38.96080563	295.6065427	1.4131543430000002	198.613039	4.996064068	8.043824445	141.3250367	26.99904547	548.03363	28.46920161	15.34100019	86.46487696	122.5797747	52.13095567	1.119328465	0.716422052	0.591845306	0.818128392	455.9975256	66.17615542	1.617421513	1.5517326790000001	0.365836195	3.302819856	11.08919063	34.50955256	1.605831508	2.553781662	0.607076643	1.92793435	0.74318026	269.2941312	0.523840504	0.959221269	109.3036878	1.616864099	15.21798618	26.72367848	7.82613643	4.344714129	0.44637012	5.7068508410000005	198.1463386	1.70338804	1.702852558	18.55743611
PFKP	ATP-dependent 6-phosphofructokinase, platelet type (ATP-PFK) (PFK-P)	canonical glycolysis; cellular response to leukemia inhibitory factor; fructose 1,6-bisphosphate metabolic process; fructose 6-phosphate metabolic process; glucose catabolic process; protein homotetramerization	6-phosphofructokinase complex; cytoplasm; cytosol; extracellular exosome; membrane; nucleus	15.73992016	1.037807645	15.11355303	0.63527046	0.907202587	1.741890208	0.528260756	1.875069679	5.523982473999999	4.741280944	2.4021793909999998	5.812216322	4.94456425	63.71400422	1.854941891	0.377314439	2.2970597	3.757560593	1.977578043	0.33141556699999997	0.545729491	0.469755022	0.93218373	1.607809071	0.9482345390000001	0.820375746	0.948322283	2.8359062760000002	0.558375934	3.789559853	1.817381774	1.79660257	5.337520947	2.0385348619999997	72.85497501	3.408481407	7.986113442000001	0.167162076	28.28080117	1.6659074719999998	0.56365478	0.26362335800000003	0.995667262	2.021425873	0.16482574	1.108302582	1.117038138	1.216691808	0.65947896	0.20273376
